database,endpoint,analysis,n,events,beta,se,odds_ratio,ci_low,ci_high,p_value
MIMIC-IV,outcome,CVP/MPP subcohort mortality HRC association,9343,988,-0.299530362142694,0.0343645396593526,0.741166218673651,0.692890277384436,0.79280570334546,2.87535200943317e-18
MIMIC-IV,organ_nonrecovery_24_72,CVP/MPP subcohort post24 organ nonrecovery HRC association,7679,3074,-0.408620991286245,0.027102897049292,0.664566060924541,0.630185099903431,0.700822741446027,2.30667377775876e-51
