hrc_core_z,mortality_probability,ci_low,ci_high,database
-2.74565403056123,0.183874044880242,0.152413472105233,0.220141917834721,MIMIC-IV
-2.71855831057272,0.182188227510497,0.151281276910307,0.217789190245182,MIMIC-IV
-2.69146259058421,0.180514741456044,0.150143973144879,0.21547126675032,MIMIC-IV
-2.6643668705957,0.178853560165249,0.149001884458561,0.213187616520356,MIMIC-IV
-2.63727115060719,0.177204655842775,0.147855351792036,0.210937686627976,MIMIC-IV
-2.61017543061868,0.175567999473982,0.146704732775414,0.208720903067314,MIMIC-IV
-2.58307971063017,0.173943560849309,0.145550400994567,0.206536671897078,MIMIC-IV
-2.55598399064166,0.172331308588609,0.144392745127262,0.204384380505689,MIMIC-IV
-2.52888827065315,0.170731210165441,0.143232167952986,0.202263398994253,MIMIC-IV
-2.50179255066464,0.169143231931305,0.142069085242447,0.200173081671171,MIMIC-IV
-2.47469683067613,0.167567339139803,0.1409039245347,0.198112768650166,MIMIC-IV
-2.44760111068762,0.166003495970726,0.139737123811806,0.196081787541663,MIMIC-IV
-2.42050539069911,0.164451665554057,0.138569130082608,0.194079455225725,MIMIC-IV
-2.3934096707106,0.162911809993874,0.137400397888778,0.192105079693282,MIMIC-IV
-2.36631395072209,0.161383890392147,0.136231387747457,0.190157961941148,MIMIC-IV
-2.33921823073358,0.159867866872427,0.13506256454585,0.188237397905411,MIMIC-IV
-2.31212251074507,0.158363698603409,0.133894395903663,0.186342680417162,MIMIC-IV
-2.28502679075656,0.156871343822371,0.132727350519629,0.184473101164292,MIMIC-IV
-2.25793107076805,0.155390759858471,0.131561896518259,0.182627952643134,MIMIC-IV
-2.23083535077954,0.153921903155903,0.1303984998126,0.180806530084162,MIMIC-IV
-2.20373963079103,0.152464729296899,0.129237622498055,0.179008133336634,MIMIC-IV
-2.17664391080252,0.151019193024578,0.128079721291387,0.177232068698099,MIMIC-IV
-2.149548190814,0.149585248265625,0.126925246027757,0.175477650675878,MIMIC-IV
-2.12245247082549,0.1481628481528,0.125774638227292,0.173744203669095,MIMIC-IV
-2.09535675083698,0.146751945047272,0.124628329741074,0.172031063561367,MIMIC-IV
-2.06826103084847,0.145352490560772,0.123486741484785,0.170337579215979,MIMIC-IV
-2.04116531085996,0.143964435577549,0.122350282266553,0.168663113867068,MIMIC-IV
-2.01406959087145,0.142587730276139,0.121219347713772,0.167007046402106,MIMIC-IV
-1.98697387088294,0.141222324150938,0.12009431930201,0.165368772532633,MIMIC-IV
-1.95987815089443,0.139868166033562,0.118975563487482,0.163747705851886,MIMIC-IV
-1.93278243090592,0.138525204114006,0.117863430943041,0.162143278779438,MIMIC-IV
-1.90568671091741,0.137193385961586,0.116758255896245,0.160554943394411,MIMIC-IV
-1.8785909909289,0.13587265854567,0.115660355566786,0.158982172160089,MIMIC-IV
-1.85149527094039,0.13456296825618,0.114570029699479,0.157424458543841,MIMIC-IV
-1.82439955095188,0.133264260923876,0.113487560188057,0.155881317537251,MIMIC-IV
-1.79730383096337,0.131976481840411,0.112413210784228,0.154352286082124,MIMIC-IV
-1.77020811097486,0.130699575778152,0.111347226885822,0.152836923408659,MIMIC-IV
-1.74311239098635,0.129433487009769,0.110289835397402,0.151334811292602,MIMIC-IV
-1.71601667099784,0.128178159327588,0.109241244656315,0.149845554238483,MIMIC-IV
-1.68892095100933,0.1269335360627,0.108201644417028,0.148368779596308,MIMIC-IV
-1.66182523102082,0.125699560103837,0.107171205886425,0.14690413761914,MIMIC-IV
-1.63472951103231,0.124476173915992,0.106150081802771,0.145451301469025,MIMIC-IV
-1.6076337910438,0.123263319558799,0.105138406551163,0.144009967178624,MIMIC-IV
-1.58053807105529,0.122060938704669,0.104136296308388,0.142579853575764,MIMIC-IV
-1.55344235106678,0.120868972656666,0.103143849210393,0.141160702177883,MIMIC-IV
-1.52634663107827,0.11968736236614,0.102161145535801,0.139752277063107,MIMIC-IV
-1.49925091108976,0.118516048450105,0.101188247899218,0.138354364724352,MIMIC-IV
-1.47215519110125,0.117354971208361,0.100225201448432,0.136966773912553,MIMIC-IV
-1.44505947111274,0.116204070640364,0.0992720340599485,0.135589335474725,MIMIC-IV
-1.41796375112423,0.115063286461841,0.0983287565276821,0.134221902192216,MIMIC-IV
-1.39086803113572,0.113932558121145,0.0973953627400331,0.132864348624086,MIMIC-IV
-1.36377231114721,0.112811824815356,0.0964718298409677,0.131516570960178,MIMIC-IV
-1.3366765911587,0.111701025506128,0.095558118371153,0.130178486887998,MIMIC-IV
-1.30958087117019,0.110600098935271,0.0946541723856316,0.128850035477087,MIMIC-IV
-1.28248515118168,0.109508983640082,0.0937599195449887,0.127531177084123,MIMIC-IV
-1.25538943119317,0.108427617968419,0.0928752711774533,0.126221893281466,MIMIC-IV
-1.22829371120466,0.10735594009351,0.0920001223099134,0.124922186811363,MIMIC-IV
-1.20119799121615,0.106293888028521,0.0911343516664095,0.123632081567402,MIMIC-IV
-1.17410227122763,0.105241399640846,0.0902778216333229,0.122351622604198,MIMIC-IV
-1.14700655123912,0.104198412666164,0.0894303781912146,0.12108087617551,MIMIC-IV
-1.11991083125061,0.103164864722224,0.0885918508141082,0.119819929800183,MIMIC-IV
-1.0928151112621,0.102140693322383,0.0877620523379753,0.118568892354338,MIMIC-IV
-1.06571939127359,0.101125835888893,0.0869407788012938,0.117327894187099,MIMIC-IV
-1.03862367128508,0.10012022976593,0.0861278092618378,0.11609708725589,MIMIC-IV
-1.01152795129657,0.0991238122323732,0.085322905595339,0.114876645275836,MIMIC-IV
-0.984432231308063,0.0981365205143405,0.0845258122833775,0.113666763876076,MIMIC-IV
-0.957336511319553,0.0971582917974662,0.0837362561998163,0.112467660753872,MIMIC-IV
-0.930240791331042,0.0961890632389377,0.0829539464073232,0.111279575815116,MIMIC-IV
-0.903145071342532,0.0952287719792846,0.0821785739780448,0.110102771287379,MIMIC-IV
-0.876049351354022,0.0942773551539233,0.0814098118552782,0.108937531788815,MIMIC-IV
-0.848953631365511,0.0933347499044599,0.0806473147760643,0.107784164333171,MIMIC-IV
-0.821857911377001,0.0924008933897515,0.0798907192779043,0.10664299824789,MIMIC-IV
-0.794762191388491,0.091475722796729,0.079139643816265,0.105514384978812,MIMIC-IV
-0.767666471399981,0.090559175350983,0.0783936890230399,0.104398697751475,MIMIC-IV
-0.74057075141147,0.089651188327113,0.0776524381395474,0.103296331055632,MIMIC-IV
-0.71347503142296,0.0887516990588455,0.0769154576607526,0.102207699916449,MIMIC-IV
-0.68637931143445,0.0878606449489192,0.0761822982299275,0.101133238913367,MIMIC-IV
-0.65928359144594,0.0869779634787416,0.0754524958245853,0.100073400905959,MIMIC-IV
-0.632187871457429,0.0861035922178185,0.0747255732748384,0.0990286554258054,MIMIC-IV
-0.605092151468919,0.0852374688329594,0.074001042153878,0.0979994866948833,MIMIC-IV
-0.577996431480408,0.0843795340557578,0.0732784075230576,0.0969863947868573,MIMIC-IV
-0.550900711491898,0.0835301906034027,0.0725575635741054,0.0959904265306378,MIMIC-IV
-0.523804991503388,0.082690777136615,0.0718392832343413,0.0950136196133742,MIMIC-IV
-0.496709271514878,0.0818626988024399,0.0711245691634035,0.0940578693239876,MIMIC-IV
-0.469613551526368,0.0810473064678688,0.070414559556528,0.093124776739963,MIMIC-IV
-0.442517831537857,0.0802458984498836,0.0697105270160074,0.092215654122057,MIMIC-IV
-0.415422111549347,0.0794597224613025,0.0690138728550668,0.0913315361797786,MIMIC-IV
-0.388326391560837,0.0786899777600221,0.0683261171606428,0.0904731967884351,MIMIC-IV
-0.361230671572327,0.0779378174898157,0.0676488851308275,0.0896411705528288,MIMIC-IV
-0.334134951583816,0.077204351201511,0.0669838903546151,0.0888357784656625,MIMIC-IV
-0.307039231595306,0.0764906475441309,0.0663329157981042,0.088057156818245,MIMIC-IV
-0.279943511606795,0.075797737116425,0.065697793292099,0.0873052884974779,MIMIC-IV
-0.252847791618285,0.0751266154701586,0.0650803822792375,0.0865800358481558,MIMIC-IV
-0.225752071629775,0.074478246257535,0.064482548480299,0.085881174387294,MIMIC-IV
-0.198656351641265,0.0738535645162185,0.0639061429909663,0.085208426815696,MIMIC-IV
-0.171560631652754,0.0732534800865886,0.0633529821368496,0.0845614969664089,MIMIC-IV
-0.144464911664244,0.0726788811570839,0.0628248282111647,0.0839401035448888,MIMIC-IV
-0.117369191675734,0.0721306379347963,0.062323371009296,0.0833440137383909,MIMIC-IV
-0.0902734716872238,0.0716096064398303,0.0618502098675019,0.0827730769923359,MIMIC-IV
-0.0631777516987135,0.071116632423372,0.061406835715489,0.082227259462938,MIMIC-IV
-0.0360820317102033,0.070652555410893,0.0609946124676939,0.081706679855027,MIMIC-IV
-0.00898631172169306,0.0702181274527058,0.0606146510961243,0.0812115909454344,MIMIC-IV
0.0181094082668176,0.0698127281135937,0.0602661963465805,0.0807415584409141,MIMIC-IV
