database,analysis,exposure,n,deaths,beta,se,odds_ratio,ci_low,ci_high,p_value,max_abs_smd,variable_with_max_smd
MIMIC-IV,IPW complete-case HRC,HRC per 1 SD increase,16757,2557,-0.27027928106263,0.0218906748573738,0.763166326668717,0.731115217494933,0.796622513420819,7.19200566305542e-35,0.760895696983085,baseline_uo_ml_kg_h
MIMIC-IV,MICE covariate-imputation sensitivity,NA,16757,2557,-0.254289512800854,0.0223893710125406,0.775467261845465,0.742173170229713,0.810254935526674,8.73859940770255e-30,0.760895696983085,baseline_uo_ml_kg_h
eICU,IPW complete-case HRC,HRC per 1 SD increase,9275,1912,-0.273248019191339,0.0286497850348237,0.760904045418025,0.719354809931647,0.80485312441093,1.83573261094467e-21,0.172553179050418,baseline_uo_ml_kg_h
eICU,MICE covariate-imputation sensitivity,NA,9275,1912,-0.285396398079748,0.0287636111849012,0.751716216387762,0.710509418054549,0.79531284965592,5.2331671033285196e-23,0.172553179050418,baseline_uo_ml_kg_h
SICdb,IPW complete-case HRC,HRC per 1 SD increase,8275,926,-0.40653980693155,0.0405695586467949,0.66595058563905,0.615048175099778,0.721065764386744,1.6820639064704198e-23,0.431311626182782,baseline_uo_ml_kg_h
SICdb,MICE covariate-imputation sensitivity,NA,8274,926,-0.409924671728739,0.0416659672838169,0.663700243645323,0.611653112012283,0.720176199162402,1.02552845842372e-22,0.431311626182782,baseline_uo_ml_kg_h
