database,exposure,beta,se,odds_ratio,ci_low,ci_high,p_value,weight,label
MIMIC-IV,HRC per 1 SD increase,-0.271965997172309,0.0221349965190683,0.761880166729433,0.729533643763184,0.79566089023866,1.06780398680532e-34,2040.99097329861,0.76 (0.73-0.80)
eICU,HRC per 1 SD increase,-0.281083904341832,0.0285688163401282,0.754964987982257,0.713853331758085,0.798444313029004,7.659167590774819e-23,1225.22402955743,0.75 (0.71-0.80)
SICdb,HRC per 1 SD increase,-0.406539806931556,0.0417501120119002,0.665950585639046,0.613626695925942,0.722736128427034,2.0871742646398799e-22,573.699815228693,0.67 (0.61-0.72)
Random-effects summary,HRC per 1 SD increase,-0.312178504814509,0.0355057764717969,0.731850877662616,0.68265216342514,0.784595341276285,1.4648970269426199e-18,NA,0.73 (0.68-0.78)
