database,scoring_n,hrc_mean,hrc_sd,hrc_median_iqr,map_vaso_spearman,map_uo_spearman,vaso_uo_spearman,primary_analytic_n,simplified_hrc_spearman
MIMIC-IV,16757,-2.8568846942672765e-17,1.0000000000000004,-0.02 [-0.58-0.58],0.039357284570102645,0.12053931661885613,0.053751154208779184,16757,0.774402503607466
eICU,9275,1.74987308261337e-17,0.999999999999999,-0.03 [-0.60-0.58],0.016242019651952943,0.14091262302969715,0.018013161598671397,9275,0.835609246513997
SICdb,8275,-1.2952147746403509e-17,0.9999999999999993,-0.06 [-0.69-0.63],0.3177217593911787,0.16617271010827217,0.037560587629992134,8274,0.863080659573418
