database,endpoint,n,events,actual_or,null_median_or,null_ci_low,null_ci_high,empirical_p,permutations
MIMIC-IV,outcome,16757,2557,0.754727889836471,1.00008876060373,0.954691768256222,1.04524709395078,0.00497512437810945,200
eICU,outcome,9275,1912,0.770716125355777,0.999496195183314,0.941007471045336,1.0540131953143,0.00497512437810945,200
SICdb,outcome,8274,926,0.692654723729924,1.00045538727197,0.93754782308636,1.06189643810246,0.00497512437810945,200
